,Emotion,Freizeit,Wohnen,Klima,Infrastruktur,Soziales
2023-04-22,0,2,0,0,0,0
2023-04-23,0,0,2,0,0,0
2023-04-24,0,0,1,0,1,0
2023-04-25,2,1,4,0,0,0
2023-04-26,4,0,0,0,0,0
2023-04-27,2,0,1,0,0,0
2023-05-01,0,0,4,0,0,0
2023-05-02,2,0,1,0,0,1
2023-05-03,0,1,2,0,1,0
2023-05-04,4,0,2,0,0,0
2023-05-05,1,0,1,1,0,0
2023-05-06,1,0,0,1,0,0
2023-05-07,0,0,1,1,0,1
2023-05-08,1,0,2,2,0,0
2023-05-09,2,0,1,0,0,0
2023-05-10,0,0,2,1,0,0
2023-05-11,1,0,5,0,0,0
2023-05-12,2,1,1,0,0,0
2023-05-13,1,0,1,0,0,0
2023-05-15,0,4,2,0,0,0
2023-05-16,0,0,3,0,0,0
2023-05-19,0,0,2,1,0,0
2023-05-20,1,1,1,0,0,1
2023-05-21,1,0,1,0,0,1
2023-05-23,2,0,1,0,0,0
2023-05-24,1,0,2,0,0,0
2023-05-26,2,0,1,0,0,1
2023-05-28,1,1,0,0,0,0
2023-05-29,1,0,0,0,0,0
2023-05-31,0,2,3,0,0,0
2023-06-01,1,0,2,0,0,0
2023-06-02,0,0,1,0,0,0
2023-06-04,1,0,0,0,0,0
2023-06-07,0,0,2,0,0,0
2023-06-08,1,0,0,0,0,0
2023-06-09,1,0,1,0,0,0
2023-06-10,2,0,0,0,0,0
2023-06-12,1,0,0,0,0,0
2023-06-13,1,0,0,0,0,0
2023-06-14,2,2,1,0,0,0
2023-06-16,1,0,0,0,0,0
2023-06-18,0,0,1,0,0,0
2023-06-19,10,0,5,1,0,0
2023-06-20,2,0,0,0,0,0
2023-06-21,1,0,0,0,0,0
2023-06-22,0,0,1,0,1,0
2023-06-25,2,0,0,0,0,0
2023-06-26,1,1,0,0,0,1
2023-06-27,1,0,1,1,0,0
2023-06-28,1,2,0,0,0,3
2023-06-29,3,1,5,1,0,0
2023-07-01,2,0,1,0,0,0
2023-07-02,2,0,1,0,0,0
2023-07-03,1,0,0,0,0,0
2023-07-04,0,0,1,0,1,0
2023-07-05,3,0,0,0,0,1
2023-07-06,0,0,0,0,1,0
2023-07-07,2,0,2,1,0,0
2023-07-08,0,0,0,0,1,0
2023-07-09,1,0,0,0,0,0
2023-07-10,0,0,0,1,0,0
2023-07-11,1,1,0,0,0,0
2023-07-12,0,1,0,0,0,0
2023-07-13,1,0,0,0,0,0
2023-07-14,1,5,0,1,0,0
2023-07-15,0,0,0,1,0,1
2023-07-16,0,0,0,1,0,0
2023-07-17,0,1,0,0,1,0
2023-07-18,0,0,1,0,0,0
2023-07-19,1,1,0,0,0,2
2023-07-20,1,0,0,0,0,1
2023-07-21,0,1,1,0,1,1
2023-07-22,0,0,1,0,0,0
2023-07-23,1,3,0,0,0,0
2023-07-24,0,1,0,0,0,0
2023-07-26,0,1,0,1,1,0
2023-07-27,1,0,1,0,0,0
2023-07-28,1,0,2,1,0,1
2023-07-30,0,0,1,0,0,0
2023-07-31,2,0,1,0,2,0
2023-08-01,0,0,1,0,0,0
2023-08-02,2,0,0,0,0,0
2023-08-03,0,0,1,0,0,0
2023-08-04,1,2,0,3,0,0
2023-08-05,1,0,0,2,0,0
2023-08-06,1,0,1,0,0,0
2023-08-07,0,1,0,0,0,0
2023-08-08,2,0,1,0,0,0
2023-08-09,1,4,1,0,0,0
2023-08-10,0,3,1,0,0,0
2023-08-11,1,0,2,0,0,0
2023-08-14,3,0,0,0,0,0
2023-08-15,1,1,0,0,0,1
2023-08-16,0,1,0,0,0,0
2023-08-17,0,1,1,0,0,0
2023-08-18,2,1,0,0,0,0
2023-08-20,3,0,0,0,0,0
2023-08-21,2,1,0,0,1,0
2023-08-22,1,0,0,0,0,0
2023-08-23,1,0,1,0,0,1
2023-08-24,2,0,0,0,0,0
2023-08-26,0,0,1,0,0,0
2023-08-28,1,6,0,0,1,1
2023-08-29,0,0,0,1,0,0
2023-08-30,1,0,0,0,0,0
2023-08-31,0,1,0,0,1,0
2023-09-01,0,1,0,0,0,0
2023-09-02,0,0,0,0,0,2
2023-09-03,1,1,0,0,0,0
2023-09-04,1,0,0,0,0,0
2023-09-06,1,2,0,0,0,0
2023-09-07,0,0,2,0,0,1
2023-09-08,2,0,0,0,0,1
2023-09-11,2,0,0,0,0,0
2023-09-12,1,0,0,0,2,0
2023-09-13,0,0,0,0,1,0
2023-09-14,1,0,0,0,0,0
2023-09-15,0,0,0,0,0,1
2023-09-16,1,0,0,0,0,0
2023-09-17,1,0,0,0,0,0
2023-09-18,1,0,2,0,0,0
2023-09-19,0,1,0,0,0,0
2023-09-20,0,0,3,0,0,0
2023-09-21,3,1,0,0,0,0
2023-09-22,1,1,1,0,0,0
2023-09-23,0,0,0,1,0,0
2023-09-24,1,0,0,0,0,0
2023-09-25,1,0,2,0,0,0
2023-09-26,0,0,7,0,0,0
2023-09-27,3,0,2,0,0,0
2023-09-28,2,0,1,0,0,0
2023-09-29,0,0,1,0,0,0
2023-10-01,0,3,0,0,0,0
2023-10-02,0,0,1,0,0,0
2023-10-03,0,0,1,0,0,0
2023-10-04,0,1,1,0,0,0
2023-10-05,0,0,1,0,0,0
2023-10-06,3,1,1,0,0,0
2023-10-07,2,0,0,0,0,0
2023-10-09,1,0,4,0,0,0
2023-10-10,1,2,0,0,0,0
2023-10-11,1,0,1,0,1,0
2023-10-12,0,1,3,1,0,0
2023-10-13,1,1,2,3,0,0
2023-10-14,1,1,0,1,0,1
2023-10-15,2,0,1,2,0,0
2023-10-16,0,1,2,0,1,0
2023-10-17,3,1,0,0,0,1
2023-10-18,0,2,2,0,0,0
2023-10-19,2,3,1,1,0,0
2023-10-20,1,4,1,0,0,0
2023-10-21,1,0,0,0,0,0
2023-10-22,1,0,0,0,0,0
2023-10-23,3,1,1,0,0,0
2023-10-24,4,3,1,0,0,1
2023-10-25,7,6,1,0,0,3
2023-10-26,9,2,0,0,0,0
2023-10-27,12,6,2,1,0,0
2023-10-28,17,4,1,0,0,0
2023-10-29,5,0,0,0,0,0
2023-10-30,4,3,2,0,1,0
2023-10-31,2,1,2,0,0,0
2023-11-01,1,0,0,0,0,0
2023-11-02,0,7,0,1,0,0
2023-11-03,0,4,0,0,0,0
2023-11-04,2,5,0,0,0,0
2023-11-05,0,3,0,0,0,0
2023-11-06,1,3,1,0,0,0
2023-11-07,4,1,2,3,0,0
2023-11-08,0,5,0,0,0,0
2023-11-09,0,14,0,0,0,0
2023-11-10,1,3,6,0,0,0
2023-11-11,0,3,1,0,0,0
2023-11-12,0,0,2,0,0,0
2023-11-13,1,2,2,0,0,0
2023-11-14,1,5,2,0,0,0
2023-11-15,1,1,1,0,0,0
2023-11-16,3,4,0,1,0,0
2023-11-17,3,1,0,0,0,0
2023-11-18,2,2,0,0,0,0
2023-11-19,1,6,0,0,0,0
2023-11-20,1,6,2,0,0,0
2023-11-21,2,5,0,4,0,0
2023-11-22,1,15,1,0,0,0
2023-11-23,1,5,0,0,0,0
2023-11-24,8,4,0,0,0,0
2023-11-25,3,3,0,4,0,0
2023-11-26,2,5,2,3,0,0
2023-11-27,1,4,0,17,0,0
2023-11-28,2,2,0,23,0,0
2023-11-29,2,9,2,10,0,0
2023-11-30,2,23,3,13,1,0
2023-12-01,4,13,0,6,0,2
2023-12-02,0,10,0,7,0,0
2023-12-03,6,7,0,21,0,0
2023-12-04,1,4,0,15,0,0
2023-12-05,0,9,1,12,0,2
2023-12-06,0,8,1,5,0,1
2023-12-07,4,7,0,7,0,0
2023-12-08,2,11,1,10,1,0
2023-12-09,1,4,0,2,0,1
2023-12-10,1,4,0,2,0,1
2023-12-11,1,6,0,6,0,0
2023-12-12,1,3,0,2,0,0
2023-12-13,7,7,3,1,0,1
2023-12-14,3,5,0,1,0,0
2023-12-15,0,1,1,2,0,0
2023-12-16,1,12,0,0,0,0
2023-12-17,0,1,0,0,0,0
2023-12-18,0,1,0,1,0,0
2023-12-19,2,2,0,0,0,0
2023-12-20,4,7,0,0,0,0
2023-12-21,2,2,0,1,0,0
2023-12-22,6,12,0,0,0,0
2023-12-23,4,5,1,1,0,0
2023-12-24,6,1,1,0,0,1
2023-12-25,3,2,1,0,0,0
2023-12-26,5,7,0,2,0,0
2023-12-27,2,0,1,1,0,0
2023-12-28,1,2,0,3,0,0
2023-12-29,1,5,0,0,0,1
2023-12-30,2,3,0,0,0,1
2024-01-01,1,0,0,0,0,0
2024-01-02,0,2,0,0,0,2
2024-01-03,0,5,1,0,0,1
2024-01-04,2,3,1,1,1,1
2024-01-05,1,1,0,3,0,0
2024-01-06,1,0,0,5,0,0
2024-01-07,1,4,0,0,0,0
2024-01-08,2,1,0,2,0,1
2024-01-09,4,0,1,2,0,5
2024-01-10,0,1,0,1,0,0
2024-01-11,0,1,0,5,0,0
2024-01-12,0,6,0,9,0,0
2024-01-13,1,1,0,1,0,0
2024-01-14,1,3,0,1,0,0
2024-01-15,1,1,0,3,0,0
2024-01-16,1,2,1,11,0,0
2024-01-17,3,2,0,46,0,1
2024-01-18,0,1,0,42,0,1
2024-01-19,0,4,0,6,0,0
2024-01-20,2,0,0,5,0,0
2024-01-21,0,2,0,5,0,0
2024-01-22,0,3,0,2,0,0
2024-01-23,0,1,0,10,0,0
2024-01-24,0,3,0,2,0,0
2024-01-25,0,2,1,0,0,0
2024-01-26,0,2,0,2,0,0
2024-01-27,0,5,0,0,0,0
2024-01-28,0,9,0,0,0,0
2024-01-29,0,0,1,0,0,0
2024-01-30,1,4,0,0,4,0
2024-01-31,0,0,0,3,1,1
2024-02-01,4,0,0,0,0,0
2024-02-02,1,3,0,0,0,0
2024-02-03,1,2,0,0,0,0
2024-02-04,1,5,0,0,0,0
2024-02-05,0,2,0,2,0,0
2024-02-06,0,2,0,8,0,0
2024-02-07,1,2,0,1,0,0
2024-02-08,2,1,1,0,0,0
2024-02-09,1,0,0,2,0,1
2024-02-10,1,2,0,0,0,0
2024-02-11,0,2,0,0,0,0
2024-02-12,2,5,0,0,0,0
2024-02-13,0,0,0,2,0,0
2024-02-14,0,4,0,2,0,1
2024-02-15,0,1,3,0,0,0
2024-02-16,3,1,1,1,0,0
2024-02-17,0,5,0,0,0,0
2024-02-18,0,4,0,0,0,0
2024-02-19,0,6,0,0,0,0
2024-02-20,1,1,0,0,0,1
2024-02-21,0,2,1,1,0,0
2024-02-22,1,2,1,0,0,0
2024-02-23,2,5,0,1,0,0
2024-02-24,0,6,0,1,0,0
2024-02-25,0,9,0,2,0,0
2024-02-26,0,2,2,0,0,0
2024-02-27,0,3,1,0,0,0
2024-02-28,2,2,1,0,0,0
2024-02-29,1,4,0,2,0,0
2024-03-01,2,5,3,2,0,0
2024-03-02,0,6,0,0,0,0
2024-03-03,0,5,0,2,0,0
2024-03-04,0,2,1,0,0,0
2024-03-05,0,0,0,1,0,0
2024-03-06,6,1,0,0,0,1
2024-03-07,3,0,0,0,1,0
2024-03-08,0,0,0,1,1,0
2024-03-09,1,1,0,0,0,0
2024-03-10,1,2,0,0,0,0
2024-03-12,1,2,0,0,0,0
2024-03-13,1,2,0,0,0,0
2024-03-14,0,4,1,0,0,0
2024-03-15,3,5,0,0,0,0
2024-03-16,1,0,0,0,0,0
2024-03-17,0,7,0,0,0,0
2024-03-18,3,2,0,0,0,0
2024-03-19,1,2,1,0,0,0
2024-03-20,1,0,0,0,0,0
2024-03-21,2,1,1,1,0,0
2024-03-22,0,2,0,4,2,0
2024-03-24,0,3,0,0,0,1
2024-03-25,0,4,0,4,0,0
2024-03-26,4,2,0,0,0,0
2024-03-27,4,2,0,1,1,0
2024-03-28,7,1,1,0,0,0
2024-03-29,8,0,0,0,0,0
2024-03-30,20,0,0,0,0,0
2024-03-31,12,0,0,0,0,0
2024-04-01,1,1,0,0,0,0
2024-04-02,4,4,0,0,0,0
2024-04-04,0,3,1,0,0,0
2024-04-05,0,1,0,0,0,0
2024-04-06,0,1,0,1,0,0
2024-04-07,2,1,0,1,0,0
2024-04-08,1,0,1,3,0,0
2024-04-09,0,1,0,0,0,0
2024-04-10,0,2,0,0,0,0
2024-04-11,0,0,0,0,0,0
2024-04-12,0,0,1,1,0,0
2024-04-14,0,1,0,1,0,1
2024-04-15,1,1,0,1,0,0
2024-04-16,0,0,1,2,1,1
2024-04-17,0,0,0,2,0,0
2024-04-18,3,0,3,0,0,0
2024-04-19,2,2,3,3,0,0
2024-04-20,2,0,1,11,0,0
2024-04-21,2,1,0,20,0,0
2024-04-22,1,0,6,7,0,1
2024-04-23,1,0,1,6,0,0
2024-04-24,2,2,0,3,0,0
2024-04-25,0,1,0,3,0,0
2024-04-26,1,1,0,1,0,0
2024-04-28,1,0,0,0,0,0
2024-04-29,0,0,0,1,0,0
2024-04-30,0,0,2,1,0,0
2024-05-01,1,2,1,1,0,0
2024-05-02,1,0,1,0,0,0
2024-05-03,1,0,1,1,0,0
2024-05-04,2,0,0,0,0,1
2024-05-05,1,0,0,0,3,0
2024-05-06,3,0,0,0,0,2
2024-05-07,3,1,0,0,0,0
2024-05-08,3,2,1,1,0,0
2024-05-09,3,1,0,0,0,0
2024-05-10,2,0,3,0,0,0
2024-05-11,1,0,0,0,0,0
2024-05-13,1,1,0,0,0,0
2024-05-14,1,0,0,0,0,0
2024-05-15,0,0,2,0,0,0
2024-05-16,0,0,12,0,1,0
2024-05-17,1,0,0,1,0,0
2024-05-18,0,0,1,0,0,0
2024-05-19,0,0,0,0,0,1
2024-05-20,0,0,0,0,0,2
2024-05-21,1,1,0,1,1,1
2024-05-22,1,0,1,0,1,1
2024-05-23,1,0,0,0,0,1
2024-05-24,2,0,2,0,0,1
2024-05-26,1,0,0,0,0,0
2024-05-27,3,0,2,0,0,0
2024-05-28,2,0,1,0,0,0
2024-05-29,9,0,0,2,0,0
2024-05-30,17,1,1,0,0,0
2024-05-31,7,0,1,0,0,0
2024-06-02,1,0,0,0,0,0
2024-06-03,0,1,0,0,0,2
2024-06-04,1,0,1,2,0,0
2024-06-05,0,2,0,1,1,0
2024-06-06,3,1,0,0,0,0
2024-06-07,2,0,0,0,0,0
2024-06-08,2,0,0,0,0,0
2024-06-09,1,0,0,1,0,0
2024-06-10,0,1,0,0,0,0
2024-06-11,0,1,0,2,0,0
2024-06-12,5,0,3,0,0,0
2024-06-13,2,0,0,0,0,0
2024-06-14,1,0,0,0,0,0
2024-06-15,0,3,0,0,0,0
2024-06-16,2,1,0,0,0,0
2024-06-17,12,0,0,0,0,0
2024-06-18,0,1,1,0,0,1
2024-06-19,1,5,0,0,0,0
2024-06-20,2,2,0,1,0,0
2024-06-21,2,1,0,1,0,0
2024-06-22,1,0,0,3,0,0
2024-06-23,0,0,2,0,0,0
2024-06-25,3,0,0,0,0,0
2024-06-26,1,0,0,0,0,0
2024-06-28,3,7,0,0,0,0
2024-06-29,1,0,0,0,0,0
2024-06-30,1,0,0,0,1,0
2024-07-03,1,0,0,0,0,0
1970-01-01,0,0,0,0,0,0
